author,published_at,updated_at,like_count,text,comment,sentiment
@VARUNKUMAR-dj6mi,2024-03-04T09:33:19Z,2024-03-04T09:34:14Z,0.0,a href in my scrapping i didint have snippet title name and like and view in this only showing video id and piblished date please any one a href help me tomorrow i have interview,5445 in my scrapping I didint have snippet title name and likes and views In this only showing video I39d and piblished date please any one 5445 help me Tomorrow I have interview,neutral
@internetmaxvui7719,2024-02-28T08:27:57Z,2024-02-28T08:27:57Z,0.0,sorry sir the link project in the description is dead,Sorry sir the link project in the description is dead,negative
@vigneshnesh7353,2024-02-22T13:46:55Z,2024-02-22T13:46:55Z,0.0,bro project download link not working,Bro project download link not working,neutral
@hoperight5280,2024-02-21T17:32:35Z,2024-02-21T17:32:35Z,0.0,amazing,Amazing,positive
@user-ye8xi6kf3q,2024-02-18T14:03:38Z,2024-02-18T14:03:38Z,0.0,i have to say that you are very greati am following your channelyour project are just amazing for getting job,I have to say that you are very greatI am following your channelYour projects are just amazing for getting job,positive
@mayankjacky,2024-02-12T03:37:25Z,2024-02-12T03:37:25Z,1.0,thanks,Thanks,positive
@mayankjacky,2024-02-12T03:36:47Z,2024-02-12T03:36:47Z,1.0,a great video which cover all aspect of creating a project in python for data science thank you for your service to the community at large regard,A great video which covers all aspects of creating a project in Python for Data Science Thank you for your service to the community at large Regards,positive
@user-hl4xm6bg3f,2024-02-10T08:29:18Z,2024-02-10T08:29:18Z,0.0,i am getting this error what should i dobrbrps cusersmyphoonedrivedesktopcapstone projectgt amp cusersmyphoanaconda3pythonexe quotcusersmyphoonedrivedesktopcapstone projecta href brtraceback most recent call last br file quotcusersmyphoonedrivedesktopcapstone projecta href line 7 in ltmodulegt br youtube buildyoutubev3 developerkey apikey br br file quotcusersmyphoanaconda3libsitepackagesgoogleapiclienta href line 130 in positionalwrapper br return wrappedargs kwargs br,techTFQ i am getting this error what should i doPS CUsersmyphoOneDriveDesktopCapstone Projectgt amp CUsersmyphoanaconda3pythonexe quotcUsersmyphoOneDriveDesktopCapstone ProjectCapstonepyquot Traceback most recent call last File quotcUsersmyphoOneDriveDesktopCapstone ProjectCapstonepyquot line 7 in ltmodulegt YouTube build39youtube3939v339 developerkey apikey File quotCUsersmyphoanaconda3Libsitepackagesgoogleapiclienthelperspyquot line 130 in positionalwrapper return wrappedargs kwargs,positive
@neerajsuryawanshi836,2024-02-03T14:20:48Z,2024-02-03T14:20:48Z,0.0,thanks for sharing informative content can anybody please let me know why order of extracted information is not in order with respect to channel id it getting change after each execution,Thanks for sharing informative content can anybody please let me know why order of extracted information is not in order with respect to Channel Ids its getting changes after each execution,positive
@savyhash1855,2024-02-01T08:48:58Z,2024-02-01T08:48:58Z,0.0,i have never seen such a detailed ml videogreat,I have never seen such a detailed ml videogreat,positive
@chetankembhavi4810,2024-01-31T08:50:13Z,2024-01-31T08:50:13Z,0.0,no module named googleapiclient error solve this error sir,No module named googleapiclient error solve this error sir,neutral
@chetankembhavi4810,2024-01-27T18:55:08Z,2024-01-27T18:55:08Z,0.0,mini project i will take sir,Mini project I will take sir,neutral
@dodgewagen,2024-01-20T03:32:38Z,2024-01-20T03:32:38Z,0.0,thank you,Thank you,neutral
@user-qm2bq7vz2n,2024-01-18T04:51:03Z,2024-01-18T04:51:03Z,0.0,lol i think they patched the chanelid thing,Lol I think they patched the chanelId thing,positive
@bobbymcclane2639,2024-01-10T16:55:18Z,2024-01-10T16:55:18Z,0.0,your coding skill are very good,your coding skills are very good,positive
@clementinecritique,2024-01-03T00:46:36Z,2024-01-03T02:03:03Z,0.0,hi thoufiq thank you for sharing the step in detail i followed it the whole day to learn i am almost a total beginner your video is very engaging and super useful you beat many professor in term of efficiency and claritybrbri wa only having difficulty with scraping the total amount of video with the original line i did not know why and my troubleshooting didnt work until trying chatgptbrbra href when i used the written line i got 39 result instead of all the 239 it got resolved with the following line i put it here for other user who may run into the same problembrbrbrdef getvideodetailsyoutube videoidsbr allvideostats brbr for i in range0 lenvideoids 50br request youtubevideoslistbr partsnippetcontentdetailsstatisticsbr idjoinvideoidsii 50br br response requestexecutebrbr check if there are no video in the responsebr if item not in responsebr continuebrbr for video in responseitemsbr videostats dictbr titlevideosnippettitlebr publisheddatevideosnippetpublishedatbr viewsvideostatisticsviewcountbr likesvideostatisticslikecountbr commentsvideostatisticscommentcountbr br allvideostatsappendvideostatsbrbr return allvideostats,Hi Thoufiq thank you for sharing the steps in details I followed it the whole day to learn I am almost a total beginner Your video is very engaging and super useful You beat many professors in terms of efficiency and clarityI was only having difficulty with scraping the total amount of videos with the original lines I did not know why and my troubleshooting didn39t work until trying Chatgpt5442 When I used the written lines I got 39 results instead of all the 239 It got resolved with the following lines I put it here for other users who may run into the same problemdef getvideodetailsyoutube videoids allvideostats for i in range0 lenvideoids 50 request youtubevideoslist part39snippetcontentDetailsstatistics39 id3939joinvideoidsii 50 response requestexecute Check if there are no videos in the response if 39items39 not in response continue for video in response39items39 videostats dict Titlevideo39snippet3939title39 PublishedDatevideo39snippet3939publishedAt39 Viewsvideo39statistics3939viewCount39 Likesvideo39statistics3939likeCount39 Commentsvideo39statistics3939commentCount39 allvideostatsappendvideostats return allvideostats,positive
@fortunusgames,2023-12-10T15:32:20Z,2023-12-10T15:32:20Z,0.0,hi thoufiq this is a very impressive tutorial i followed this and managed to create my own visualization for my master of art project which analyzes several political youtubers video output very helpful,Hi Thoufiq this is a very impressive tutorial I followed this and managed to create my own visualizations for my Master of Arts project which analyzes several political YouTubers39 video output Very helpful,positive
@mohamedabdo-xg6tw,2023-12-09T13:08:13Z,2023-12-09T13:08:13Z,0.0,thank you thoufiq for the great tutorial watching in dec 2023 i guess the api removed the dislaikecount in statistic and replaced it with favoritecount just a headsup i dont know why they did that dislike are good metric to track specially if we are working with business account on youtube thank you again,Thank you Thoufiq for the great tutorial watching in Dec 2023 I guess the API removed the DislaikeCount in statistics and replaced it with FavoriteCount just a headsup I don39t know why they did that Dislikes are good metrics to track specially if we are working with business account on youtube Thank you again,positive
@yogeshindulkar320,2023-12-08T09:22:30Z,2023-12-08T09:22:30Z,0.0,my function is stuck running at row 16 i had restarted it still it is taking pause at row 16 brgetvideoidsyoutubeplaylistid at this point can u help me why this is happening,my function is stuck running at row 16 i had restarted it still it is taking pause at row 16 getvideoidsyoutubeplaylistid at this point can u help me why this is happening,neutral
@324jasminechristyleo6,2023-11-29T12:28:42Z,2023-11-29T12:28:42Z,0.0,hii brobrfor my google api python client is not installedbrcan you help me,Hii broFor my Google api python client is not installedCan you help me,neutral
@Mrroy08657,2023-11-24T07:34:03Z,2023-11-24T07:34:03Z,0.0,in video detail data how to fetch all the video id from response object at the same time with others detail video id can act a the primary key here in analysis on all vdos,In Video Details data how to fetch all the 39 Video ID 39 from Response Object at the same time with others details 39 Video ID 39 can act as the Primary key here in analysis on all vdos,positive
@user-fr9fg3rf2h,2023-11-22T19:42:36Z,2023-11-22T19:42:36Z,0.0,where is comment scraped in the above code,Where is comments scraped in the above code,neutral
@1111ferfer,2023-11-20T22:19:54Z,2023-11-20T22:19:54Z,0.0,what can we do to search statistic for top 40 video sorted by relevance to regionquot,what can we do to search statistics for top 40 videos sorted by relevance to regionquot,positive
@user-hb3cm6mb5u,2023-11-06T17:08:18Z,2023-11-06T17:08:18Z,0.0,bro this is an awesome project and i have learned very much but bro when i open the url of your blog then it show me an error in the url so please tell me how can i download your blog regarding this project,Bro this is an awesome project and i have learned very much but bro when i open the URL of your blog then it show me an error in the URL So please tell me how can i download your blogs regarding this project,positive
@princegirl5640,2023-10-28T19:26:10Z,2023-10-28T19:26:10Z,0.0,after completing this projectbr how to format this in resume project session,After completing this project How to format this in resume project session,neutral
@bhagyasrisheraboina2019,2023-10-23T12:34:10Z,2023-10-23T12:34:10Z,0.0,showing invalid package specification in anaconda prompt,showing invalid packages specifications in anaconda prompt,neutral
@andersonfernandes6998,2023-10-10T14:10:13Z,2023-10-10T14:10:13Z,0.0,thank you very much for this tutorial i am starting my study in data analytics and this video ha helped me a lot in understanding etl after seeing the result i had a question is it possible to achieve a similar result by extracting comment from each video,Thank you very much for this tutorial I am starting my studies in data analytics and this video has helped me a lot in understanding ETL After seeing the results I had a question is it possible to achieve a similar result by extracting comments from each video,positive
@amazingpatrick4659,2023-10-09T18:39:10Z,2023-10-09T18:39:10Z,1.0,hi it seems the googleapipythonclient is not available right now,Hi It seems the googleapipythonclient is not available right now,positive
@user-oh9zv4st5t,2023-10-09T17:49:31Z,2023-10-09T17:49:31Z,0.0,i think your tutorial are amazinggg the best data analytics tutorial i really like and learn a lot from this tutorial but i want to work on this code too the link that you give is not working now can you update this link pleeassseee,I think your tutorials are amazinggg The best data analytics tutorials I really like and learn a lot from this tutorial But I want to work on this code too The link that you give is not working now Can you update this link pleeassseee,positive
@wingdigitalmarketing,2023-10-04T20:00:13Z,2023-10-04T20:00:35Z,0.0,that wa wonderfully helpful thoufiq i am a complete novice and while elemets of the coding such a program you used where to find them how to intergrate are aspect i need to further study the process you took wa clear and inciteful i paid attention throughout and flatter myself that i saw a few of your return error before you did now to study some more and see where this take me thanks again david,That was wonderfully helpful Thoufiq I am a complete novice and while elemets of the coding such as programs you used where to find them how to intergrate are aspects I need to further study the process you took was clear and inciteful I paid attention throughout and flatter myself that I saw a few of your return errors before you did Now to study some more and see where this takes me Thanks again David,positive
@28petals,2023-09-18T13:57:37Z,2023-09-18T13:57:37Z,0.0,can we get video based on language like only english video or only spanish video,Can we get videos based on language like only English videos or only Spanish videos,neutral
@038Dude,2023-09-17T12:31:38Z,2023-09-17T12:31:38Z,0.0,man im almost desperate at this point there this app called mytube and it for window device it a third party yt app and it friggin awesome but the problem is that the dev is afk just vanished without any notice i am quite tech illiterate but ive managed to create my own api key to keep the app going lately it wont let me use the embedded palyer whatever that mean making me use the official yt web player which in turn wont play anything above 360p and all of the cool function of mytube cant be used either i just wish i knew how to fix this,Man I39m almost desperate at this point There39s this app called myTube and it39s for windows devices It39s a third party YT app and it39s friggin awesome but the problem is that the dev is afk just vanished without any notice I am quite tech illiterate but I39ve managed to create my own api key to keep the app going Lately it wont let me use the embedded palyer whatever that means Making me use the official YT web player which in turn won39t play anything above 360p and all of the cool functions of myTube cant be used either I just wish I knew how to fix this,positive
@prajwalmeshram32,2023-09-16T20:38:12Z,2023-09-16T20:38:12Z,3.0,i tried extracting video detail from channel who have had their like dislike sometimes even commentcount disables so i had to write additional check for thatbrdef getvideodetailsyoutubevideoids br br allvideostats br br for i in range0lenvideoids50 br requestyoutubevideoslist br partsnippetstatistics br idjoinvideoidsii50 br responserequestexecute br br for video in responseitems br videostatsdict br videostatstitlevideosnippettitle br videostatspublishdatevideosnippetpublishedat br expectedcheckviewcountlikecountcommentcount br for item in expectedcheck br if item in videostatistics br videostatsitemvideostatisticsitem br else br videostatsitemnone br br allvideostatsappendvideostats br return allvideostats,i tried extracting video details from channels who have had their likes dislikes sometimes even commentcount disables so i had to write additional check for thatdef getvideodetailsyoutubevideoids allvideostats for i in range0lenvideoids50 requestyoutubevideoslist part39snippetstatistics39 id3939joinvideoidsii50 responserequestexecute for video in response39items39 videostatsdict videostats39title39video39snippet3939title39 videostats39publishDate39video39snippet3939publishedAt39 expectedcheck39viewCount3939likeCount3939commentCount39 for item in expectedcheck if item in video39statistics39 videostatsitemvideo39statistics39item else videostatsitemNone allvideostatsappendvideostats return allvideostats,neutral
@TheEmpoweredMind27,2023-09-16T06:13:06Z,2023-09-16T06:13:06Z,1.0,when i execute this codebrbrdef getvideodetailsyoutube videoids br allvideostats br br for i in range0 lenvideoids 50 br request youtubevideoslist br partsnippetstatistics br idjoinvideoidsii50 br br response requestexecute br br for video in responseitems br videostats br title videosnippettitle br publisheddate videosnippetpublishedat br view videostatisticsviewcount br like videostatisticslikecount br dislike videostatisticsdislikecount br comment videostatisticscommentcount br br allvideostatsappendvideostats br br return allvideostatsbrbri get this errorbrbrtypeerror traceback most recent call last brinput in 29 in ltcell line 1gt brgt 1 getvideodetailsyoutube videoids br brinput in 28 in getvideodetailsyoutube videoids br 2 allvideostats br 4 for i in range0 lenvideoids 50 br 5 request youtubevideoslist br 6 partsnippetstatistics brgt 7 idjoinvideoidsii50 br 8 br 9 response requestexecute br 11 for video in responseitems br brtypeerror sequence item 2 expected str instance ellipsis found,when i execute this codedef getvideodetailsyoutube videoids allvideostats for i in range0 lenvideoids 50 request youtubevideoslist part39snippetstatistics39 id3939joinvideoidsii50 response requestexecute for video in response39items39 videostats 39Title39 video39snippet3939title39 39Publisheddate39 video39snippet3939publishedAt39 39Views39 video39statistics3939viewCount39 39Likes39 video39statistics3939likeCount39 39Dislikes39 video39statistics3939dislikeCount39 39Comments39 video39statistics3939commentCount39 allvideostatsappendvideostats return allvideostatsi get this errorTypeError Traceback most recent call last Input In 29 in ltcell line 1gt gt 1 getvideodetailsyoutube videoids Input In 28 in getvideodetailsyoutube videoids 2 allvideostats 4 for i in range0 lenvideoids 50 5 request youtubevideoslist 6 part39snippetstatistics39 gt 7 id3939joinvideoidsii50 8 9 response requestexecute 11 for video in response39items39 TypeError sequence item 2 expected str instance ellipsis found,positive
@Magi_son,2023-09-15T13:29:05Z,2023-09-15T13:29:05Z,0.0,how to show video id,How to show video id,neutral
@lalithkishorep2618,2023-09-08T10:51:05Z,2023-09-08T10:51:04Z,0.0,hi sir i have doubt on how we can take subscribe count,Hi sir I have doubt on how we can take subscribe count,neutral
@chiragbhawsar4544,2023-09-06T16:39:57Z,2023-09-06T16:39:57Z,0.0,how we scrapped comment with this video,How we scrapped comment with this videos,neutral
@kiruthickagp,2023-09-05T03:32:20Z,2023-09-05T03:32:19Z,0.0,thanks a loy techtfq i wa struggling a lot to do the initial step of this project please do lot of video like this,Thanks a loy techTFQ I was struggling a lot to do the initial steps of this project Please do lot of videos like this,positive
@harish1838,2023-09-03T08:16:22Z,2023-09-03T08:16:22Z,1.0,hey people i have an issue installing environment can someone help me fixit,Hey people i have an issue installing environment can someone help me fixit,neutral
@muhammaddanialtanoli,2023-08-27T17:28:01Z,2023-08-27T17:28:01Z,0.0,nicely explained each and every detail thank you so much,Nicely explained each and every detail thank you so much,positive
@user-mg3yh8ps9q,2023-08-12T16:17:24Z,2023-08-12T16:17:24Z,0.0,brtypeerror traceback most recent call last brcell in38 line 3 br 1 apikey aizasybjdhkefud2tu0gauz34bhwzzslyuq2r8g br 2 channelid brgt 3 youtube buildyoutube v3 developerkeyapikey br brtypeerror module object is not callablebrbrbr how can i fix this problem,TypeError Traceback most recent call last Cell In38 line 3 1 apikey 39AIzaSyBJDHkeFUd2TU0gAuz34BHwZzslYUq2R8g39 2 channelid 39ienetworks217039 gt 3 youtube build39youtube39 39V339 developerkeyapikey TypeError 39module39 object is not callable How can i fix this problems,positive
@thetruth4461,2023-08-07T20:18:34Z,2023-08-07T20:18:34Z,2.0,for those of you who are seeing this project in 2023 in the function to get video id remove the dislike code a now youtube api doe not give information on dislike,For those of you who are seeing this project in 2023 in the function to get video ids remove the dislike code as now youtube api does not give information on dislikes,neutral
@kowsergazi,2023-08-04T20:27:19Z,2023-08-04T20:27:19Z,0.0,great video looking for more like this,Great video Looking for more like this,positive
@samueljudephilips137,2023-08-01T09:26:21Z,2023-08-01T09:26:21Z,0.0,hey thoufiq im stuck at a href the part where i executed the codei dont see any output or error it just take me to another line or box to type codealso the jupyter notebook didnt open in my created environment but i anyways continued in the python ipykernel please help me,Hey Thoufiq I39m stuck at 1645 the part where I executed the codeI don39t see any output or errors it just takes me to another line or box to type codealso the jupyter notebook didn39t open in my created environment but I anyways continued in the python ipykernel Please help me,neutral
@kamalikamukherji6482,2023-07-22T09:45:22Z,2023-07-22T09:45:22Z,0.0,how do u manage to learn work show so much sir seems you got dark circle how do u work so hard pls suggest,How do u manage to learn work show so much Sir seems you got dark circles how do u work so hard pls suggest,negative
@nikethdonthula2123,2023-07-14T16:30:28Z,2023-07-14T16:30:28Z,1.0,can i put this project in my resume,Can I put this project in my resume,neutral
@soumilyade1057,2023-07-14T06:16:13Z,2023-07-14T06:16:43Z,1.0,a href well now you have 215k subscriber xd congrats on that and thanks for the video,3052 well now you have 215K subscribers xD Congrats on that and thanks for the video,positive
@sethpai,2023-06-30T08:28:47Z,2023-06-30T08:28:47Z,0.0,brilliant tutorial appreciated the pace and detail with this tutorial i can focus my time on exploring youtube data and not worrying about how to get it,Brilliant tutorial Appreciated the pace and detail With this tutorial I can focus my time on exploring YouTube data and not worrying about how to get it,positive
@edwardboyo9746,2023-06-29T18:24:12Z,2023-06-29T18:24:12Z,0.0,i wa going through the video that ha to do with the youtube apibrand then i want to take a different way bri would like to access the number of video for each of the youtubers and also their video later on a i go on a you did a well,I was going through the video that has to do with the youtube APIand then I want to take a different way I would like to access the number of videos for each of the YouTubers and also their videos later on as I go on as you did as well,neutral
@gopia5095,2023-06-25T18:10:29Z,2023-06-25T18:10:29Z,0.0,clear explanation,Clear explanation,positive
@SMajid--SMajid,2023-06-20T14:04:34Z,2023-06-20T14:04:34Z,5.0,here how to get channel id in 2023br1 go to the desired channel and right click on the channel pagebr2 go to view page sourcebr3 on the source page top left will have line wrap with a check box check that boxbr4 press ctrlf on your keyboard to open search tabbr5 type channelid it will highlight channel id for youbr6 copy and use it,Here39s how to get channel ID in 20231 Go to the desired channel and right click on the channel page2 Go to 39View Page Source393 On the source page top left will have 39Line wrap39 with a check box check that box4 Press ctrlF on your keyboard to open search tab5 Type 39channelid39 it will highlight channel ID for you6 Copy and use it,positive
@mohitnemade5320,2023-06-18T11:33:19Z,2023-06-18T11:33:19Z,0.0,project is very awesome for learn but only the thing while speaking take a breath amp stop a bit and explain well continously you are speaking it look like someone is following you and feeling also sleepy while working on project,Project is very awesome for learn but only the thing while speaking take a breath amp stop a bit and explain well continously you are speaking it looks like someone is following you and feeling also sleepy while working on project,positive
@ruksharalam173,2023-06-12T06:51:40Z,2023-06-12T06:51:40Z,0.0,can we get the github repo for this code,Can we get the github repo for this code,neutral
@machineUnlearner,2023-06-03T17:38:56Z,2023-06-03T17:38:56Z,2.0,now the youtube channel id can not be extracted from the process you mentioned please let me know the alternate,Now the youtube Channel ID cannot be extracted from the process you mentioned Please let me know the alternate,neutral
@d4lm0,2023-05-31T13:30:59Z,2023-05-31T13:31:35Z,1.0,to those who had problem installing googleapipythonclient try thesebrto install this package run one of the following,To those who had problems installing googleapipythonclient try theseTo install this package run one of the following,neutral
@beforeyourimmigrants8471,2023-05-28T15:59:17Z,2023-05-28T16:00:34Z,0.0,that accent is too distracting you should do some realtime voice cloning to sound like an american itll be awesome if it wa implemented at the university level 2 so we can understand what these professor are saying,That accent is too distracting You should do some realtime voice cloning to sound like an American It39ll be awesome if it was implemented at the University level 2 so we can understand what these professors are saying,positive
@mhapich,2023-05-21T01:41:37Z,2023-05-21T01:41:37Z,2.0,this is the first video that ive watched on scraping anything that i wa able to follow from beginning to end understand and be able to apply to my own channel and projectwithout running into problem that couldnt be easily fixed i could fix my own mistake because you explained each step so thoroughly thank you,This is the first video that I39ve watched on scraping ANYTHING that I was able to follow from beginning to end understand and be able to apply to my own channels and projectwithout running into problems that couldn39t be easily fixed I could fix my own mistakes because you explained each step so thoroughly Thank you,positive
@hoekbrwr,2023-05-19T09:12:35Z,2023-05-19T09:12:35Z,0.0,i am happy i struggled over this i wa googling for a google apps script and ended in python it is a very clear explanation and i am so happy about your english pronounciation lot of your country menor woman have a strong accent i get very very tired of so i give up or miss too much so i subscribed to your channel,I am happy I struggled over this I was googling for a Google Apps script and ended in Python It is a very clear explanation and I am so happy about your English pronounciation Lot of your country menor women have a strong accent i get very very tired of so I give up or miss too much So I subscribed to your channel,positive
@praveenlifemaker,2023-05-18T11:20:35Z,2023-05-18T11:20:35Z,1.0,in pycharm im unable to get the return response the code is executed perfectly but with no output in the console what to do,In Pycharm I39m unable to get the return response The code is executed perfectly but with no output in the console What to do,positive
@user-zd4wq8ue4p,2023-05-17T03:47:25Z,2023-05-17T03:47:25Z,0.0,hi techtfq brhow to get different youtube channel url link please put related videoshere i cant understand that only reason,Hi techTFQ how to get different youtube channel url link please put related videoshere i cant understand that only reason,neutral
@jareshiahsamuel4207,2023-05-09T08:39:20Z,2023-05-09T08:39:59Z,0.0,im getting key error statistic can some one help me out to solve the error,Im getting key error statistics can some one help me out to solve the error,neutral
@saimahmad1445,2023-05-01T16:45:33Z,2023-05-01T16:45:33Z,0.0,it wa the best video on this topic i have a question can you please tell me how to use filter on tag while retrieving video data,It was the best video on this topic I have a question can you please tell me how to use filter on tags while retrieving videos data,positive
@raghavdadhich9774,2023-04-26T10:51:58Z,2023-04-26T10:51:58Z,0.0,where is the code sheet i am not able to find it,where is the code sheet i am not able to find it,negative
@Sumfinfunny777,2023-04-21T09:36:39Z,2023-04-21T09:36:39Z,2.0,quotconda install googleapipythonclientquot did not workbrbutbrquotconda install c condaforge googleapipythonclientquot worked,quotconda install googleapipythonclientquot did not workbutquotconda install c condaforge googleapipythonclientquot worked,neutral
@VictoireRey-pr7qh,2023-04-18T10:41:14Z,2023-04-18T10:41:14Z,2.0,hello im trying to run your code to get video detail from a list of videoids but i have a ssl error when running videodetailsgetvideodetailsyoutube videoids and dont know how to fix it error is the following quotsslcertverificationerror ssl certificateverifyfailed certificate verify failed self signed certificate in certificate chain sslc1129quot do you know how i can fix this thanks,Hello I39m trying to run your code to get video details from a list of videoids but I have a SSL error when running videodetailsgetvideodetailsyoutube videoids and don39t know how to fix it Error is the following quotSSLCertVerificationError SSL CERTIFICATEVERIFYFAILED certificate verify failed self signed certificate in certificate chain sslc1129quot do you know how I can fix this Thanksssss,negative
@annarocha9769,2023-04-07T22:19:15Z,2023-04-07T22:19:15Z,0.0,omg this is awesome thanks a lot,OMG this is awesome thanks a lot,positive
@AlexandreDias18,2023-04-07T11:59:23Z,2023-04-07T11:59:23Z,11.0,wow a a fellow data scientist i am truly amazed by the incredible work youve done your expertise in data analysis and modeling is truly inspiring your ability to harness the power of data to uncover insight and make informed decision is truly invaluable your work ha helped business optimize their operation improve customer experience and drive innovation brbrthank you for your hard work and dedication in making the world a better place through datadriven insight keep up the amazing work,Wow as a fellow data scientist I am truly amazed by the incredible work you39ve done Your expertise in data analysis and modeling is truly inspiring Your ability to harness the power of data to uncover insights and make informed decisions is truly invaluable Your work has helped businesses optimize their operations improve customer experiences and drive innovation Thank you for your hard work and dedication in making the world a better place through datadriven insights Keep up the amazing work,positive
@sabasareen1436,2023-03-28T08:29:11Z,2023-03-28T08:29:11Z,0.0,how to get only comment of the video,how to get only comments of the video,neutral
@sruthysunil1423,2023-03-20T20:39:19Z,2023-03-20T20:39:19Z,0.0,hi sir i would to like to ask you about a doubt regarding the channel id i am not able to get the channel id from the above mentioned method even i have tried to select a video from the channel and checked the url now it all are customised and i wasnt able to get the channel id is there any other way to get the channel id,Hi Sir I would to like to ask you about a doubt regarding the channel ids i am not able to get the channel id from the above mentioned method even i have tried to select a video from the channel and checked the url now it all are customised and i wasn39t able to get the channel id Is there any other way to get the channel ids,positive
@aasimgandhi69,2023-03-17T06:13:54Z,2023-03-17T06:13:54Z,0.0,i have issue on getvideodetails function is returningbrkind youtubea href br etag yiupvpqnjppycwozfl19blb7uk br item br pageinfo totalresults 0 resultsperpage 0brthis much output only i dont know why my code is perfect but still it is note returning video list,I have issue on getvideodetails function is returning39kind39 39youtubevideoListResponse39 39etag39 39YIUPVpqNjppyCWOZfL19bLb7uk39 39items39 39pageInfo39 39totalResults39 0 39resultsPerPage39 0this much output only I don39t know why my code is perfect but still it is note returning videos list,positive
@Empeiro,2023-03-07T01:33:21Z,2023-03-07T01:33:21Z,0.0,brother what a nice video thanks for the time and sharing,Brother what a nice video thanks for the time and sharing,positive
@denisaroxana4006,2023-03-03T19:15:48Z,2023-03-03T19:15:48Z,0.0,can you get video data from video posted in a certain week or a specific time frame,Can you get video data from videos posted in a certain week or a specific time frame,positive
@manassr7840,2023-02-07T12:37:09Z,2023-02-07T12:37:09Z,0.0,is it possible to use the extracted data and implement an ml model if so which would be the best suitable model,Is it possible to use the extracted data and implement an ML model If so which would be the best suitable model,positive
@farsanarahman5370,2023-01-31T08:23:15Z,2023-01-31T08:23:15Z,0.0,i dont get channel id any one please help on this,I don39t get channel id any one please help on this,neutral
@hassansemlali7450,2023-01-31T02:52:23Z,2023-01-31T02:52:23Z,0.0,nice content brother you help me a lot i really appreciate your effort,Nice content brother you help me a lot i really appreciate your efforts,positive
@pranayjain._,2022-12-31T11:55:29Z,2022-12-31T11:55:29Z,0.0,thanks a lot,Thanks a lot,positive
@ronaldchrishton7969,2022-12-29T06:35:41Z,2022-12-29T06:35:41Z,0.0,tnq it usefull for me,Tnq its usefull for me,neutral
