author,published_at,updated_at,like_count,text
@VARUNKUMAR-dj6mi,2024-03-04T09:34:34Z,2024-03-04T09:34:34Z,0,"<a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=3285"">54:45</a> in my scrapping I didint have snippet , title name and likes and views.. In this only showing video I&#39;d and piblished date. 🥲🥲🥲😐 please any one help me.. Tomorrow I have interview"
@VARUNKUMAR-dj6mi,2024-03-04T09:34:25Z,2024-03-04T09:34:25Z,0,"<a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=3285"">54:45</a> in my scrapping I didint have snippet , title name and likes and views.. In this only showing video I&#39;d and piblished date. 🥲🥲🥲😐 please any one help me.. Tomorrow I have interview"
@VARUNKUMAR-dj6mi,2024-03-04T09:33:19Z,2024-03-04T09:34:14Z,0,"<a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=3285"">54:45</a> in my scrapping I didint have snippet , title name and likes and views.. In this only showing video I&#39;d and piblished date. 🥲🥲🥲😐 please any one <a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=3285"">54:45</a> help me.. Tomorrow I have interview"
@internetmaxvui7719,2024-02-28T08:27:57Z,2024-02-28T08:27:57Z,0,"Sorry sir, the link project in the description is dead"
@vigneshnesh7353,2024-02-22T13:46:55Z,2024-02-22T13:46:55Z,0,"Bro, project download link not working"
@hoperight5280,2024-02-21T17:32:35Z,2024-02-21T17:32:35Z,0,Amazing!
@user-ye8xi6kf3q,2024-02-18T14:03:38Z,2024-02-18T14:03:38Z,0,I have to say that you are very great...I am following your channel.Your projects are just amazing for getting job.
@mayankjacky,2024-02-12T03:37:25Z,2024-02-12T03:37:25Z,1,Thanks
@mayankjacky,2024-02-12T03:36:47Z,2024-02-12T03:36:47Z,1,A great video which covers all aspects of creating a project in Python for Data Science. Thank you for your service to the community at large. Regards.
@user-hl4xm6bg3f,2024-02-10T08:29:18Z,2024-02-10T08:29:18Z,0,"@techTFQ i am getting this error what should i do.<br><br>PS C:\Users\mypho\OneDrive\Desktop\Capstone Project&gt; &amp; C:/Users/mypho/anaconda3/python.exe &quot;c:/Users/mypho/OneDrive/Desktop/Capstone Project/<a href=""http://capstone.py/"">Capstone.py</a>&quot;<br>Traceback (most recent call last):<br>  File &quot;c:\Users\mypho\OneDrive\Desktop\Capstone Project\<a href=""http://capstone.py/"">Capstone.py</a>&quot;, line 7, in &lt;module&gt;<br>    YouTube = build(&#39;youtube&#39;,&#39;v3&#39;, developerkey = api_key)<br>              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^<br>  File &quot;C:\Users\mypho\anaconda3\Lib\site-packages\googleapiclient\_<a href=""http://helpers.py/"">helpers.py</a>&quot;, line 130, in positional_wrapper<br>    return wrapped(*args, **kwargs)<br>           ^^^^^^^^^^^^^^^^^^^^^^^^"
@neerajsuryawanshi836,2024-02-03T14:20:48Z,2024-02-03T14:20:48Z,0,"Thanks for sharing  informative content, can anybody please let me know why order of extracted information is not in order with respect to Channel Ids, its getting changes after each execution."
@savyhash1855,2024-02-01T08:48:58Z,2024-02-01T08:48:58Z,0,I have never seen such a detailed ml video..great
@chetankembhavi4810,2024-01-31T08:50:13Z,2024-01-31T08:50:13Z,0,No module named  googleapiclient  error  solve this error sir
@chetankembhavi4810,2024-01-27T18:55:08Z,2024-01-27T18:55:08Z,0,Mini project I will take sir
@dodgewagen,2024-01-20T03:32:38Z,2024-01-20T03:32:38Z,0,Thank you!
@user-qm2bq7vz2n,2024-01-18T04:51:03Z,2024-01-18T04:51:03Z,0,Lol I think they patched the chanelId thing
@bobbymcclane2639,2024-01-10T16:55:18Z,2024-01-10T16:55:18Z,0,your coding skills are very good
@clementinecritique,2024-01-03T00:46:36Z,2024-01-03T02:03:03Z,0,"Hi Thoufiq, thank you for sharing the steps in details. I followed it the whole day to learn. I am almost a total beginner. Your video is very engaging and super useful! You beat many professors in terms of efficiency and clarity.<br><br>I was only having difficulty with scraping the total amount of videos with the original lines. I did not know why and my troubleshooting didn&#39;t work until trying Chatgpt.<br><br>[<a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=3282"">54:42</a>] When  I used the written lines, I got 39 results instead of all the 239. It got resolved with the following lines. I put it here for other users who may run into the same problem.<br><br><br>def get_video_details(youtube, video_ids):<br>    all_video_stats = []<br><br>    for i in range(0, len(video_ids), 50):<br>        request = youtube.videos().list(<br>            part=&#39;snippet,contentDetails,statistics&#39;,<br>            id=&#39;,&#39;.join(video_ids[i:i + 50])<br>        )<br>        response = request.execute()<br><br>        # Check if there are no videos in the response<br>        if &#39;items&#39; not in response:<br>            continue<br><br>        for video in response[&#39;items&#39;]:<br>            video_stats = dict(<br>                Title=video[&#39;snippet&#39;][&#39;title&#39;],<br>                PublishedDate=video[&#39;snippet&#39;][&#39;publishedAt&#39;],<br>                Views=video[&#39;statistics&#39;][&#39;viewCount&#39;],<br>                Likes=video[&#39;statistics&#39;][&#39;likeCount&#39;],<br>                Comments=video[&#39;statistics&#39;][&#39;commentCount&#39;]<br>            )<br>            all_video_stats.append(video_stats)<br><br>    return all_video_stats"
@fortunusgames,2023-12-10T15:32:20Z,2023-12-10T15:32:20Z,0,"Hi Thoufiq, this is a very impressive tutorial. I followed this and managed to create my own visualizations for my Master of Arts project, which analyzes several political YouTubers&#39; video output. Very helpful!"
@mohamedabdo-xg6tw,2023-12-09T13:08:13Z,2023-12-09T13:08:13Z,0,"Thank you Thoufiq for the great tutorial. watching in Dec 2023, I guess the API removed the DislaikeCount in statistics and replaced it with FavoriteCount. just a heads-up. I don&#39;t know why they did that? Dislikes are good metrics to track specially if we are working with business account on youtube. Thank you again!"
@yogeshindulkar320,2023-12-08T09:22:30Z,2023-12-08T09:22:30Z,0,"my function is stuck running at row 16 i had restarted it still it is taking pause at row 16 <br>get_video_ids(youtube,playlist_id) at this point can u help me why this is happening ?"
@324jasminechristyleo6,2023-11-29T12:28:42Z,2023-11-29T12:28:42Z,0,Hii bro<br>For my Google api python client is not installed<br>Can you help me
@Mrroy08657,2023-11-24T07:34:03Z,2023-11-24T07:34:03Z,0,In Video Details data how to fetch all the &#39; Video ID &#39; from Response Object at the same time with others details ?   &#39; Video ID &#39; can act as the Primary key here in  analysis on all vdos
@user-fr9fg3rf2h,2023-11-22T19:42:36Z,2023-11-22T19:42:36Z,0,Where is comments scraped in the above code????????????????????????????????????????????
@1111ferfer,2023-11-20T22:19:54Z,2023-11-20T22:19:54Z,0,what can we do to search statistics for top 40 videos sorted by relevance to region&quot;
@user-hb3cm6mb5u,2023-11-06T17:08:18Z,2023-11-06T17:08:18Z,0,"Bro, this is an awesome project and i have learned very much but bro when i open the URL of your blog then it show me an error in the URL. So please tell me how can i download your blogs regarding this project"
@princegirl5640,2023-10-28T19:26:10Z,2023-10-28T19:26:10Z,0,After completing this project.<br> How to format this in resume project session.
@bhagyasrisheraboina2019,2023-10-23T12:34:10Z,2023-10-23T12:34:10Z,0,showing invalid packages specifications in anaconda prompt
@andersonfernandes6998,2023-10-10T14:10:13Z,2023-10-10T14:10:13Z,0,"Thank you very much for this tutorial. I am starting my studies in data analytics, and this video has helped me a lot in understanding ETL. After seeing the results, I had a question: is it possible to achieve a similar result by extracting comments from each video?"
@amazingpatrick4659,2023-10-09T18:39:10Z,2023-10-09T18:39:10Z,1,"Hi, It seems the google-api-python-client is not available right now?"
@user-oh9zv4st5t,2023-10-09T17:49:31Z,2023-10-09T17:49:31Z,0,I think your tutorials are amazinggg !! The best data analytics tutorials !! I really like and learn a lot from this tutorial. But I want to work on this code too. The link that you give is not working now. Can you update this link pleeassseee :(((((
@wingdigitalmarketing,2023-10-04T20:00:13Z,2023-10-04T20:00:35Z,0,"That was wonderfully helpful, Thoufiq. I am a complete novice and while elemets of the coding, such as programs you used, where to find them, how to intergrate are aspects I need to further study, the process you took was clear and inciteful. I paid attention throughout and flatter myself that I saw a few of your return errors before you did 😉 Now to study some more and see where this takes me. Thanks again. David"
@28petals,2023-09-18T13:57:37Z,2023-09-18T13:57:37Z,0,Can we get videos based on language like only English videos or only Spanish videos
@038Dude,2023-09-17T12:31:38Z,2023-09-17T12:31:38Z,0,"Man I&#39;m almost desperate at this point. There&#39;s this app called myTube and it&#39;s for windows devices. It&#39;s a third party YT app and it&#39;s friggin awesome but the problem is that the dev is afk, just vanished without any notice. I am quite tech illiterate but I&#39;ve managed to create my own api key to keep the app going. Lately it wont let me use the embedded palyer whatever that means. Making me use the official YT web player which in turn, won&#39;t play anything above 360p, and all of the cool functions of myTube cant be used either. I just wish I knew how to fix this....."
@prajwalmeshram32,2023-09-16T20:38:12Z,2023-09-16T20:38:12Z,3,"i tried extracting video details from channels who have had their likes, dislikes sometimes even commentcount disables so i had to write additional check for that<br>def get_video_details(youtube,video_ids):<br><br>    all_video_stats=[]<br><br>    for i in range(0,len(video_ids),50):<br>            request=youtube.videos().list(<br>                part=&#39;snippet,statistics&#39;,<br>                id=&#39;,&#39;.join(video_ids[i:i+50]))<br>            response=request.execute()<br><br>            for video in response[&#39;items&#39;]:<br>                            video_stats=dict()<br>                            video_stats[&#39;title&#39;]=video[&#39;snippet&#39;][&#39;title&#39;],<br>                            video_stats[&#39;publishDate&#39;]=video[&#39;snippet&#39;][&#39;publishedAt&#39;],<br>                            expected_check=[&#39;viewCount&#39;,&#39;likeCount&#39;,&#39;commentCount&#39;]<br>                            for item in expected_check:<br>                                    if item in video[&#39;statistics&#39;]:<br>                                            video_stats[item]=video[&#39;statistics&#39;][item]<br>                                    else:<br>                                            video_stats[item]=None<br><br>                            all_video_stats.append(video_stats)<br>    return all_video_stats"
@TheEmpoweredMind27,2023-09-16T06:13:06Z,2023-09-16T06:13:06Z,1,"when i execute this code:<br><br>def get_video_details(youtube, video_ids):<br>    all_video_stats = []<br>    <br>    for i in range(0, len(video_ids), 50):<br>        request = youtube.videos().list(<br>            part=&#39;snippet,statistics&#39;,<br>            id=&#39;,&#39;.join(video_ids[i:i+50])<br>        )<br>        response = request.execute()<br>        <br>        for video in response[&#39;items&#39;]:<br>            video_stats = {<br>                &#39;Title&#39;: video[&#39;snippet&#39;][&#39;title&#39;],<br>                &#39;Published_date&#39;: video[&#39;snippet&#39;][&#39;publishedAt&#39;],<br>                &#39;Views&#39;: video[&#39;statistics&#39;][&#39;viewCount&#39;],<br>                &#39;Likes&#39;: video[&#39;statistics&#39;][&#39;likeCount&#39;],<br>                &#39;Dislikes&#39;: video[&#39;statistics&#39;][&#39;dislikeCount&#39;],<br>                &#39;Comments&#39;: video[&#39;statistics&#39;][&#39;commentCount&#39;]<br>            }<br>            all_video_stats.append(video_stats)<br>    <br>    return all_video_stats<br><br>i get this error:<br><br>TypeError                                 Traceback (most recent call last)<br>Input In [29], in &lt;cell line: 1&gt;()<br>----&gt; 1 get_video_details(youtube, video_ids)<br><br>Input In [28], in get_video_details(youtube, video_ids)<br>      2 all_video_stats = []<br>      4 for i in range(0, len(video_ids), 50):<br>      5     request = youtube.videos().list(<br>      6         part=&#39;snippet,statistics&#39;,<br>----&gt; 7         id=&#39;,&#39;.join(video_ids[i:i+50])<br>      8     )<br>      9     response = request.execute()<br>     11     for video in response[&#39;items&#39;]:<br><br>TypeError: sequence item 2: expected str instance, ellipsis found"
@Magi_son,2023-09-15T13:29:05Z,2023-09-15T13:29:05Z,0,How to show video id?
@lalithkishorep2618,2023-09-08T10:51:05Z,2023-09-08T10:51:04Z,0,Hi sir I have doubt on how we can take subscribe count
@chiragbhawsar4544,2023-09-06T16:39:57Z,2023-09-06T16:39:57Z,0,How we scrapped comment with this videos
@kiruthickagp,2023-09-05T03:32:20Z,2023-09-05T03:32:19Z,0,Thanks a loy techTFQ. I was struggling a lot to do the initial steps of this project . Please do lot of videos like this !!!!!!!
@harish1838,2023-09-03T08:16:22Z,2023-09-03T08:16:22Z,1,Hey people i have an issue installing environment can someone help me fixit
@muhammaddanialtanoli,2023-08-27T17:28:01Z,2023-08-27T17:28:01Z,0,Nicely explained each and every detail thank you so much
@user-mg3yh8ps9q,2023-08-12T16:17:24Z,2023-08-12T16:17:24Z,0,"---------------------------------------------------------------------------<br>TypeError                                 Traceback (most recent call last)<br>Cell In[38], line 3<br>      1 api_key = &#39;AIzaSyBJDHkeFUd2TU0gAuz34BHwZzslYUq2R8g&#39;<br>      2 channel_id = &#39;@ienetworks2170&#39;<br>----&gt; 3 youtube = build(&#39;youtube&#39;, &#39;V3&#39;, developerkey=api_key)<br><br>TypeError: &#39;module&#39; object is not callable<br><br><br># How can i fix this problems"
@thetruth4461,2023-08-07T20:18:34Z,2023-08-07T20:18:34Z,2,"For those of you who are seeing this project in 2023, in the function to get video ids remove the dislike code as now youtube api does not give information on dislikes."
@kowsergazi,2023-08-04T20:27:19Z,2023-08-04T20:27:19Z,0,Great video. Looking for more like this.
@samueljudephilips137,2023-08-01T09:26:21Z,2023-08-01T09:26:21Z,0,"Hey Thoufiq , I&#39;m stuck at <a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=1005"">16:45</a> , the part where I executed the code..........I don&#39;t see any output or errors , it just takes me to another line or box to type code..............also the jupyter notebook didn&#39;t open in my created environment but I anyways continued in the python ipykernel. Please help me"
@kamalikamukherji6482,2023-07-22T09:45:22Z,2023-07-22T09:45:22Z,0,"How do u manage to learn, work, show so much Sir, seems you got dark circles, how do u work so hard pls suggest"
@nikethdonthula2123,2023-07-14T16:30:28Z,2023-07-14T16:30:28Z,1,Can I put this project in my resume !!
@soumilyade1057,2023-07-14T06:16:13Z,2023-07-14T06:16:43Z,1,"<a href=""https://www.youtube.com/watch?v=SwSbnmqk3zY&amp;t=1852"">30:52</a> well, now you have 215K subscribers xD Congrats on that, and thanks for the video....!"
@sethpai,2023-06-30T08:28:47Z,2023-06-30T08:28:47Z,0,"Brilliant tutorial. Appreciated the pace and detail. With this tutorial, I can focus my time on exploring YouTube data and not worrying about how to get it!"
@edwardboyo9746,2023-06-29T18:24:12Z,2023-06-29T18:24:12Z,0,I was going through the video that has to do with the youtube API<br>and then I want to take a different way <br>I would like to access the number of videos for each of the YouTubers  and also their videos later on as I go on as you did as well
@gopia5095,2023-06-25T18:10:29Z,2023-06-25T18:10:29Z,0,Clear explanation ❤
@SMajid--SMajid,2023-06-20T14:04:34Z,2023-06-20T14:04:34Z,5,"Here&#39;s how to get channel ID in 2023:<br>1. Go to the desired channel and right click on the channel page<br>2. Go to &#39;View Page Source&#39;<br>3. On the source page, top left will have &#39;Line wrap&#39; with a check box, check that box<br>4. Press ctrl+F on your keyboard to open search tab<br>5. Type &#39;?channel_id&#39;, it will highlight channel ID for you<br>6. Copy and use it"
@mohitnemade5320,2023-06-18T11:33:19Z,2023-06-18T11:33:19Z,0,"Project is very awesome for learn but only the thing while speaking take a breath &amp; stop a bit and explain well, continously you are speaking it looks like someone is following you and feeling also sleepy while working on project"
@ruksharalam173,2023-06-12T06:51:40Z,2023-06-12T06:51:40Z,0,Can we get the github repo for this code?
@machineUnlearner,2023-06-03T17:38:56Z,2023-06-03T17:38:56Z,2,Now the youtube Channel ID cannot be extracted from the process you mentioned. Please let me know the alternate.
@d4lm0,2023-05-31T13:30:59Z,2023-05-31T13:31:35Z,1,To those who had problems installing google-api-python-client try these:<br>To install this package run one of the following:<br>conda install -c conda-forge google-api-python-client<br>conda install -c &quot;conda-forge/label/cf201901&quot; google-api-python-client<br>conda install -c &quot;conda-forge/label/cf202003&quot; google-api-python-client<br>conda install -c &quot;conda-forge/label/gcc7&quot; google-api-python-client
@beforeyourimmigrants8471,2023-05-28T15:59:17Z,2023-05-28T16:00:34Z,0,That accent is too distracting. You should do some real-time voice cloning to sound like an American. It&#39;ll be awesome if it was implemented at the University level 2 so we can understand what these professors are saying.
@mhapich,2023-05-21T01:41:37Z,2023-05-21T01:41:37Z,2,"This is the first video that I&#39;ve watched on scraping ANYTHING that I was able to follow from beginning to end, understand, and be able to apply to my own channels and project...without running into problems that couldn&#39;t be easily fixed! I could fix my own mistakes because you explained each step so thoroughly.  Thank you!!"
@hoekbrwr,2023-05-19T09:12:35Z,2023-05-19T09:12:35Z,0,"I am happy I struggled over this. I was googling for a Google Apps script and ended in Python. It is a very clear explanation and I am so happy about your English pronounciation. Lot of your country men(or women) have a strong accent i get very very tired of, so I give up or miss too much. So I subscribed to your channel!"
@praveenlifemaker,2023-05-18T11:20:35Z,2023-05-18T11:20:35Z,1,In Pycharm I&#39;m unable to get the return response. The code is executed perfectly but with no output in the console. What to do?
@user-zd4wq8ue4p,2023-05-17T03:47:25Z,2023-05-17T03:47:25Z,0,"Hi, techTFQ <br>how to get different youtube channel url link.  please put related videos..here i cant understand that only reason..."
@jareshiahsamuel4207,2023-05-09T08:39:20Z,2023-05-09T08:39:59Z,0,I’m getting key error “statistics “ can some one help me out to solve the error
@saimahmad1445,2023-05-01T16:45:33Z,2023-05-01T16:45:33Z,0,It was the best video on this topic... I have a question can you please tell me how to use filter on tags while retrieving videos data
@raghavdadhich9774,2023-04-26T10:51:58Z,2023-04-26T10:51:58Z,0,where is the code sheet. i am not able to find it
@Sumfinfunny777,2023-04-21T09:36:39Z,2023-04-21T09:36:39Z,2,&quot;conda install google-api-python-client&quot; did not work<br>but<br>&quot;conda install -c conda-forge google-api-python-client&quot; worked
@VictoireRey-pr7qh,2023-04-18T10:41:14Z,2023-04-18T10:41:14Z,2,"Hello, I&#39;m trying to run your code to get video details from a list of video_ids but I have a SSL error when running video_details=get_video_details(youtube, video_ids) and don&#39;t know how to fix it... Error is the following : &quot;SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)&quot; do you know how I can fix this? Thanksssss"
@annarocha9769,2023-04-07T22:19:15Z,2023-04-07T22:19:15Z,0,"OMG, this is awesome, thanks a lot!👏👏👏👏👏"
@AlexandreDias18,2023-04-07T11:59:23Z,2023-04-07T11:59:23Z,11,"Wow, as a fellow data scientist, I am truly amazed by the incredible work you&#39;ve done! Your expertise in data analysis and modeling is truly inspiring. Your ability to harness the power of data to uncover insights and make informed decisions is truly invaluable. Your work has helped businesses optimize their operations, improve customer experiences, and drive innovation. <br><br>Thank you for your hard work and dedication in making the world a better place through data-driven insights. Keep up the amazing work!"
@sabasareen1436,2023-03-28T08:29:11Z,2023-03-28T08:29:11Z,0,how to get only comments of the video?
@sruthysunil1423,2023-03-20T20:39:19Z,2023-03-20T20:39:19Z,0,"Hi Sir, I would to like to ask you about a doubt regarding the channel ids, i am not able to get the channel id from the above mentioned method , even i have tried to select a video from the channel and checked the url now it all are customised and i wasn&#39;t able to get the channel id. Is there any other way to get the channel ids."
@aasimgandhi69,2023-03-17T06:13:54Z,2023-03-17T06:13:54Z,0,"I have issue on get_video_details() function is returning<br>{&#39;kind&#39;: &#39;youtube<a href=""http://www.youtube.com/results?search_query=%23videolistresponse"">#videoListResponse</a>&#39;,<br> &#39;etag&#39;: &#39;YIUPVpqNjppyCWOZfL-19bLb7uk&#39;,<br> &#39;items&#39;: [],<br> &#39;pageInfo&#39;: {&#39;totalResults&#39;: 0, &#39;resultsPerPage&#39;: 0}}<br>this much output only I don&#39;t know why my code is perfect but still it is note returning videos list"
@Empeiro,2023-03-07T01:33:21Z,2023-03-07T01:33:21Z,0,"Brother what a nice video, thanks for the time and sharing!"
@denisaroxana4006,2023-03-03T19:15:48Z,2023-03-03T19:15:48Z,0,Can you get video data from videos posted in a certain week or a specific time frame?
@manassr7840,2023-02-07T12:37:09Z,2023-02-07T12:37:09Z,0,"Is it possible to use the extracted data and implement an ML model? If so, which would be the best suitable model?"
@farsanarahman5370,2023-01-31T08:23:15Z,2023-01-31T08:23:15Z,0,"I don&#39;t get channel id , any one please help on this"
@hassansemlali7450,2023-01-31T02:52:23Z,2023-01-31T02:52:23Z,0,"Nice content brother, you help me a lot, i really appreciate your efforts"
@pranayjain._,2022-12-31T11:55:29Z,2022-12-31T11:55:29Z,0,Thanks a lot❤
@ronaldchrishton7969,2022-12-29T06:35:41Z,2022-12-29T06:35:41Z,0,Tnq .its usefull  for me
@ShrutiKhandelwal007,2022-12-29T03:26:10Z,2022-12-29T03:26:10Z,1,Can we also extract random channel names/IDs using python code for the data analysis to know who&#39;s at the top in any field? <br>We have to search the channel name to find its id as of now. I had to search google for the top subscribers and then analyzed it. Can&#39;t we just randomly sample this whole youtube dataset to get the channel and do the analysis?
@jeeyuuni,2022-12-07T17:50:47Z,2022-12-07T17:50:47Z,2,thank you so much for this ! it was super easy to follow along you are a great teacher!
@novigrad7490,2022-12-05T15:02:28Z,2022-12-05T15:02:28Z,1,can someone tell me how to scrape the duration of the video??
@jossyr6662,2022-12-04T13:21:35Z,2022-12-04T13:21:35Z,0,can&#39;t we use pycharm?
@AK-Star007,2022-11-19T14:19:30Z,2022-11-19T14:19:30Z,2,"This was exactly what i was looking for, to the point explanation. Thanx"
@apusarkar864,2022-11-19T13:11:29Z,2022-11-19T13:11:29Z,0,"I Run the command &quot;get_channel_stats(youtube,id)&quot;<br> but i not getting proper result <br><br> i get this output <br><br>{&#39;kind&#39;: &#39;youtube<a href=""http://www.youtube.com/results?search_query=%23channellistresponse"">#channelListResponse</a>&#39;,<br> &#39;etag&#39;: &#39;RuuXzTIr0OoDqI4S0RU6n4FqKEM&#39;,<br> &#39;pageInfo&#39;: {&#39;totalResults&#39;: 0, &#39;resultsPerPage&#39;: 5}"
@apusarkar864,2022-11-19T07:33:10Z,2022-11-19T07:33:10Z,0,"Hi Thoufiq, Im trying to Get Channel id but its not showing instead of custom id<br>you told in your video how to get the channel id but its not working in that way, so can you tell me any hack that how to Get ChannelID from Youtube Custom URL?<br><br>Thanks"
@zechariaparas9885,2022-11-17T07:07:23Z,2022-11-17T07:07:23Z,0,Awesome Video! Subscribed because of this! Keep up the good work! Godsent
@rajathratnakaran7893,2022-11-11T13:23:46Z,2022-11-11T13:23:46Z,0,I&#39;m getting this error<br><br>  KeyError: &#39;commentCount&#39;. Please help!
